data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
2024-08-24,sábado,13:41:00,ES,259,56,COLATINA,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Reta,Sim,1,0,0,1,0,0,1,1,-19.50128488,-40.65265414,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-24,sábado,14:30:00,ES,101,269,SERRA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,3,0,1,0,2,0,1,2,-20.21740496,-40.26990578,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-24,sábado,15:50:00,ES,101,"279,1",SERRA,Curva acentuada,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,1,0,0,1,0,0,1,1,-20.218122,-40.339325,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-24,sábado,15:45:00,ES,101,"146,3",LINHARES,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-19.36990998,-40.06560718,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-08-24,sábado,16:25:00,ES,259,51,COLATINA,Retorno proibido,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Sim,1,0,1,0,0,0,1,1,-19.50527695,-40.61093183,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-24,sábado,22:00:00,ES,101,267,SERRA,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-20.19930999,-40.26884609,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-25,domingo,03:00:00,ES,101,264,SERRA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,3,0,2,0,1,0,2,2,-20.17292791,-40.26736384,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-25,domingo,11:40:00,ES,101,236,FUNDAO,Transitar no Acostamento,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,-19.98434998,-40.41371315,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-25,domingo,17:20:00,ES,101,298,VIANA,Ingestão de álcool pelo condutor,Colisão transversal,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Viaduto;Reta;Declive,Sim,2,0,0,1,1,0,1,2,-20.35374444,-40.4156433,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2024-08-25,domingo,17:20:00,ES,101,"214,9",IBIRACU,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Curva,Sim,2,0,1,0,1,0,1,2,-19.82999127,-40.37211181,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-25,domingo,19:10:00,ES,101,61,SAO MATEUS,Ingestão de álcool pelo condutor,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta;Interseção de Vias,Sim,1,0,1,0,0,0,1,1,-18.68153217,-39.86364755,SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2024-07-20,sábado,23:20:00,ES,262,"181,5",IBATIBA,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,5,1,4,0,0,0,4,2,-20.29284223,-41.67918787,SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2024-08-26,segunda-feira,16:25:00,ES,101,270,SERRA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Não,2,0,1,0,1,0,1,2,-20.22662056,-40.27075088,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-26,segunda-feira,17:10:00,ES,101,266,SERRA,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-20.190199,-40.26828891,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-26,segunda-feira,18:40:00,ES,101,"271,4",SERRA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,0,1,1,0,1,2,-20.23267,-40.27658,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-26,segunda-feira,19:20:00,ES,101,268,SERRA,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Múltipla,Reta,Não,2,0,1,0,1,0,1,2,-20.20842,-40.269405,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-26,segunda-feira,20:20:00,ES,101,"261,5",SERRA,Demais falhas mecânicas ou elétricas,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta;Aclive,Não,2,0,1,1,0,0,2,1,-20.14854215,-40.27970926,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-27,terça-feira,07:30:00,ES,101,"265,7",SERRA,Reação tardia ou ineficiente do condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Múltipla,Reta,Sim,3,0,0,3,0,0,3,2,-20.1816849,-40.26536036,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-27,terça-feira,08:50:00,ES,101,"139,6",LINHARES,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,1,0,1,0,0,0,1,1,-19.3101728,-40.0799666,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-08-27,terça-feira,18:13:00,ES,101,257,SERRA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,2,1,0,1,0,0,1,2,-20.12455095,-40.30331881,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-27,terça-feira,21:35:00,ES,101,"257,3",SERRA,Retorno proibido,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Múltipla,Reta,Sim,2,0,0,1,1,0,1,2,-20.12455095,-40.30331881,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-28,quarta-feira,06:30:00,ES,262,35,DOMINGOS MARTINS,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Simples,Rotatória,Não,3,0,2,0,1,0,2,3,-20.38038808,-40.63351035,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2024-08-28,quarta-feira,07:00:00,ES,101,279,SERRA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Não,2,0,0,1,1,0,1,2,-20.218122,-40.339325,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-29,quinta-feira,08:00:00,ES,101,270,SERRA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,-20.22662056,-40.27075088,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-29,quinta-feira,08:45:00,ES,101,"205,5",JOAO NEIVA,Retorno proibido,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Declive,Sim,3,0,2,0,0,1,2,2,-19.76435421,-40.37263919,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-29,quinta-feira,11:16:00,ES,101,"305,9",VIANA,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,Não,2,0,2,0,0,0,2,1,-20.38392,-40.461254,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2024-08-29,quinta-feira,13:30:00,ES,259,"54,5",COLATINA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Fatais,Pleno dia,Crescente,Sol,Simples,Reta,Não,3,1,2,0,0,0,2,2,-19.49717055,-40.63711495,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-29,quinta-feira,14:00:00,ES,259,"62,2",COLATINA,Ausência de reação do condutor,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,4,0,0,2,2,0,2,2,-19.53079717,-40.68209478,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-29,quinta-feira,17:10:00,ES,101,140,LINHARES,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Múltipla,Reta;Interseção de Vias,Não,4,0,0,1,3,0,1,2,-19.31817306,-40.07552313,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-08-29,quinta-feira,19:10:00,ES,101,271,SERRA,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-20.23267,-40.27658,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-29,quinta-feira,19:30:00,ES,101,147,LINHARES,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta;Interseção de Vias,Sim,2,0,1,0,1,0,1,2,-19.37887202,-40.06657892,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-08-30,sexta-feira,12:00:00,ES,101,"291,5",CARIACICA,Avarias e/ou desgaste excessivo no pneu,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,1,0,0,2,1,-20.30245154,-40.39535522,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2024-08-30,sexta-feira,16:40:00,ES,101,"145,5",LINHARES,Condutor desrespeitou a iluminação vermelha do semáforo,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Interseção de Vias;Reta,Sim,2,0,1,0,0,1,1,2,-19.36089598,-40.06464018,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-08-30,sexta-feira,18:55:00,ES,101,145,LINHARES,Condutor deixou de manter distância do veículo da frente,Engavetamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,4,0,1,0,3,0,1,3,-19.36089598,-40.06464018,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-08-30,sexta-feira,19:30:00,ES,101,"272,8",SERRA,Ingestão de álcool pelo condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Declive;Reta,Não,2,0,1,0,0,1,1,1,-20.22724888,-40.28426988,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-30,sexta-feira,20:30:00,ES,101,276,SERRA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,0,1,0,1,0,1,2,-20.20788726,-40.3133509,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-30,sexta-feira,23:40:00,ES,101,"270,8",SERRA,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva;Declive,Sim,2,0,2,0,0,0,2,1,-20.22662056,-40.27075088,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-31,sábado,00:10:00,ES,101,122,LINHARES,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,1,0,1,0,0,0,1,1,-19.16016593,-40.08315314,SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2024-08-31,sábado,00:50:00,ES,101,247,SERRA,Ingestão de álcool pelo condutor,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Nublado,Dupla,Interseção de Vias,Não,1,0,0,0,1,0,0,1,-20.06746339,-40.37085006,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-31,sábado,02:30:00,ES,101,"231,5",FUNDAO,Condutor Dormindo,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,8,5,2,0,0,1,2,3,-19.9486019,-40.40930271,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-31,sábado,17:15:00,ES,101,"214,1",IBIRACU,Ingestão de álcool pelo condutor,Tombamento,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Reta;Retorno Regulamentado;Interseção de Vias,Sim,3,0,2,0,1,0,2,1,-19.8300046,-40.3738829,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-31,sábado,21:02:00,ES,101,"229,3",FUNDAO,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Ponte;Reta,Sim,2,0,1,0,1,0,1,1,-19.92727879,-40.40587142,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-08-31,sábado,23:00:00,ES,101,266,SERRA,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,2,0,1,0,1,0,1,1,-20.190199,-40.26828891,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-09-01,domingo,07:02:00,ES,262,184,IUNA,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,4,0,0,0,4,0,0,1,-20.29551627,-41.70587605,SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2024-09-01,domingo,13:32:00,ES,101,"267,9",SERRA,Ingestão de álcool pelo condutor,Engavetamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,4,0,0,0,4,0,0,4,-20.21740496,-40.26990578,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2024-09-01,domingo,16:05:00,ES,262,"18,6",VIANA,Mal súbito do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,2,0,2,0,0,0,2,1,-20.39137228,-40.48080285,SPRF-ES,DEL01-ES,UOP01-DEL01-ES
