data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
2022-01-03,segunda-feira,08:00:00,ES,101,"269,8",SERRA,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,"-20,21740496","-40,26990578",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-04,terça-feira,07:00:00,ES,262,"63,9",MARECHAL FLORIANO,Demais falhas mecânicas ou elétricas,Tombamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Curva;Declive,Não,2,0,0,0,1,3,0,4,"-20,42077468","-40,80814348",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-01-04,terça-feira,13:10:00,ES,262,"2,2",CARIACICA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Interseção de Vias,Sim,2,0,1,0,1,0,1,2,"-20,33183066","-40,36246061",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-04,terça-feira,19:10:00,ES,101,93,JAGUARE,Ultrapassagem Indevida,Colisão lateral sentido oposto,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,4,0,1,1,1,3,2,5,"-18,92266916","-39,96785068",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-01-04,terça-feira,21:30:00,ES,101,"420,7",CACHOEIRO DE ITAPEMIRIM,Condutor Dormindo,Colisão frontal,Com Vítimas Fatais,Plena Noite,Crescente,Céu Claro,Simples,Curva,Não,2,1,0,0,1,0,0,2,"-20,9657538","-41,10735825",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-01-05,quarta-feira,12:30:00,ES,101,293,CARIACICA,Velocidade Incompatível,Engavetamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta;Em Obras,Sim,5,0,1,0,3,1,1,5,"-20,31526144","-40,39567044",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-05,quarta-feira,16:45:00,ES,262,"6,5",CARIACICA,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Reta,Sim,4,0,2,0,2,0,2,3,"-20,34007493","-40,39451305",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-05,quarta-feira,17:10:00,ES,101,"71,8",SAO MATEUS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,0,1,1,2,"-18,753513","-39,862598",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-01-06,quinta-feira,15:05:00,ES,262,"39,9",DOMINGOS MARTINS,Chuva,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,5,0,0,4,1,0,4,2,"-20,3802679","-40,63000864",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-06,quinta-feira,20:30:00,ES,262,"63,9",MARECHAL FLORIANO,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Curva,Não,2,0,1,0,0,2,1,3,"-20,41797008","-40,81618087",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-01-07,sexta-feira,15:00:00,ES,101,"369,2",ANCHIETA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Reta,Não,5,0,2,0,3,0,2,2,"-20,76055768","-40,75851633",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2022-01-08,sábado,02:00:00,ES,101,61,SAO MATEUS,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Interseção de Vias,Sim,5,0,0,0,3,2,0,3,"-18,68153217","-39,86364755",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-01-10,segunda-feira,09:00:00,ES,101,71,SAO MATEUS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,1,0,2,0,1,3,"-18,753513","-39,862598",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-01-10,segunda-feira,16:00:00,ES,101,228,FUNDAO,Condutor deixou de manter distância do veículo da frente,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,"-19,91868701","-40,40570613",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-12,quarta-feira,07:40:00,ES,101,296,CARIACICA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Curva,Sim,3,0,0,1,1,1,1,3,"-20,34029997","-40,40405712",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-12,quarta-feira,11:30:00,ES,262,"5,5",CARIACICA,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado;Reta,Sim,2,0,0,1,1,0,1,2,"-20,33707281","-40,38649924",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-13,quinta-feira,00:40:00,ES,447,"12,7",VILA VELHA,Condutor Dormindo,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,0,1,1,2,"-20,35784325","-40,3328294",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-14,sexta-feira,02:30:00,ES,101,110,SOORETAMA,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-19,06215201","-40,03484798",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-01-14,sexta-feira,08:35:00,ES,101,"264,3",SERRA,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Múltipla,Curva,Sim,3,0,0,1,1,1,1,3,"-20,17292791","-40,26736384",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-14,sexta-feira,19:50:00,ES,101,325,GUARAPARI,Reação tardia ou ineficiente do condutor,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,4,0,0,0,3,1,0,4,"-20,55491301","-40,48064614",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2022-01-14,sexta-feira,22:40:00,ES,259,54,COLATINA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta;Aclive,Não,3,0,1,0,1,1,1,3,"-19,49717055","-40,63711495",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-14,sexta-feira,22:10:00,ES,262,151,IBATIBA,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Curva;Declive,Não,1,0,1,0,0,0,1,1,"-20,2148829","-41,44925529",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-01-14,sexta-feira,22:20:00,ES,101,123,SOORETAMA,Transitar no acostamento,Colisão traseira,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,3,1,0,0,1,3,0,5,"-19,16834502","-40,08717096",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-01-14,sexta-feira,23:00:00,ES,101,148,LINHARES,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,2,1,0,0,1,0,0,2,"-19,38787399","-40,06752766",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-01-15,sábado,03:30:00,ES,101,372,ICONHA,Velocidade Incompatível,Capotamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-20,77215419","-40,77695658",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2022-01-15,sábado,11:00:00,ES,262,64,MARECHAL FLORIANO,Velocidade Incompatível,Tombamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,2,0,0,0,1,2,0,3,"-20,41687787","-40,81519604",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-01-17,segunda-feira,10:50:00,ES,101,"316,8",VIANA,Ausência de reação do condutor,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Não,2,0,0,0,1,2,0,3,"-20,47804112","-40,47130769",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-19,quarta-feira,07:30:00,ES,101,"385,8",ICONHA,Demais falhas mecânicas ou elétricas,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Curva,Não,1,0,1,0,0,0,1,1,"-20,83675912","-40,86790091",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2022-01-19,quarta-feira,11:50:00,ES,101,159,LINHARES,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Sim,3,0,1,0,1,1,1,3,"-19,4684012","-40,1102557",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-01-19,quarta-feira,16:40:00,ES,101,"268,5",SERRA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,3,0,0,1,1,2,1,4,"-20,20842","-40,269405",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-21,sexta-feira,06:50:00,ES,101,"289,2",CARIACICA,Pedestre andava na pista,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Dupla,Ponte,Sim,6,0,3,0,2,1,3,3,"-20,28029304","-40,39302931",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-21,sexta-feira,13:00:00,ES,101,"160,2",LINHARES,Reação tardia ou ineficiente do condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Sim,6,0,2,1,2,1,3,4,"-19,47662979","-40,11402541",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-01-21,sexta-feira,23:40:00,ES,101,283,CARIACICA,Demais falhas mecânicas ou elétricas,Eventos atípicos,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,2,0,2,0,0,0,2,2,"-20,23438373","-40,3693577",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-22,sábado,15:30:00,ES,101,246,SERRA,Manobra de mudança de faixa,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Curva,Não,2,0,1,0,0,1,1,2,"-20,06198397","-40,37678888",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-23,domingo,08:50:00,ES,262,80,DOMINGOS MARTINS,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Curva,Não,2,0,0,1,0,1,1,2,"-20,40924049","-40,94035394",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-01-23,domingo,09:15:00,ES,101,260,SERRA,Acessar a via sem observar a presença dos outros veículos,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,2,0,1,0,1,0,1,2,"-20,14616415","-40,28836206",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-24,segunda-feira,13:30:00,ES,101,234,FUNDAO,Transitar na contramão,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,5,0,3,0,2,0,3,2,"-19,96973516","-40,40766379",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-25,terça-feira,07:05:00,ES,262,21,VIANA,Acessar a via sem observar a presença dos outros veículos,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Não,2,0,0,1,1,0,1,2,"-20,38054389","-40,50497908",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-25,terça-feira,19:10:00,ES,101,"241,5",SERRA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Retorno Regulamentado,Não,2,0,1,0,1,0,1,2,"-20,02389596","-40,39998096",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-25,terça-feira,22:30:00,ES,101,293,CARIACICA,Manobra de mudança de faixa,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,0,1,1,2,"-20,31526144","-40,39567044",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-27,quinta-feira,02:30:00,ES,101,"450,1",MIMOSO DO SUL,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Não,2,1,0,0,0,1,0,2,"-21,14473102","-41,27036927",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-01-27,quinta-feira,17:50:00,ES,101,"267,5",SERRA,Condutor desrespeitou a iluminação vermelha do semáforo,Atropelamento de Pedestre,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Múltipla,Reta;Interseção de Vias,Sim,4,0,0,1,0,3,1,2,"-20,19930999","-40,26884609",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-28,sexta-feira,03:40:00,ES,259,"39,8",COLATINA,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,2,0,0,1,1,0,1,2,"-19,55773871","-40,52959898",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-28,sexta-feira,06:30:00,ES,262,"128,3",CONCEICAO DO CASTELO,Condutor Dormindo,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,0,0,0,1,1,0,2,"-20,26097915","-41,27933414",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-01-28,sexta-feira,10:05:00,ES,101,199,JOAO NEIVA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Fatais,Pleno dia,Decrescente,Sol,Simples,Reta,Não,2,1,0,0,1,0,0,2,"-19,7194628","-40,34959416",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-01-28,sexta-feira,16:20:00,ES,101,271,SERRA,Trafegar com motocicleta (ou similar) entre as faixas,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Reta,Sim,3,0,1,0,1,1,1,3,"-20,23267","-40,27658",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-01-29,sábado,05:20:00,ES,101,"300,4",VIANA,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,5,1,0,0,1,3,0,3,"-20,36011788","-40,43388247",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-01-30,domingo,16:20:00,ES,101,"368,9",ANCHIETA,Ingestão de álcool pelo condutor,Colisão transversal,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,1,0,0,1,1,0,3,"-20,75957207","-40,75753039",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2022-02-01,terça-feira,07:00:00,ES,101,"304,6",VIANA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-20,38250658","-40,45874119",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-02-01,terça-feira,11:10:00,ES,262,"142,5",MUNIZ FREIRE,Transitar na contramão,Colisão frontal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Curva;Declive,Não,5,3,0,0,1,1,0,4,"-20,22866414","-41,38595101",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-02-01,terça-feira,21:50:00,ES,101,260,SERRA,Chuva,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Curva,Não,3,0,0,1,1,1,1,3,"-20,14616415","-40,28836206",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-02-03,quinta-feira,20:45:00,ES,101,"65,9",SAO MATEUS,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,3,0,0,1,1,2,1,4,"-18,70935945","-39,87762087",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-02-04,sexta-feira,14:50:00,ES,262,48,MARECHAL FLORIANO,Velocidade Incompatível,Engavetamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Curva,Não,6,0,1,0,4,1,1,5,"-20,41192401","-40,68856",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-02-05,sábado,11:10:00,ES,101,67,SAO MATEUS,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Interseção de Vias,Sim,3,0,2,0,1,0,2,2,"-18,72054021","-39,8658931",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-02-05,sábado,20:30:00,ES,101,431,ATILIO VIVACQUA,Velocidade Incompatível,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Curva,Não,4,0,1,0,2,3,1,6,"-21,02628184","-41,17629902",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-02-06,domingo,22:30:00,ES,101,"230,9",FUNDAO,Reação tardia ou ineficiente do condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Curva,Não,4,0,1,0,2,1,1,4,"-19,93558165","-40,40603211",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-02-07,segunda-feira,15:15:00,ES,101,"388,1",RIO NOVO DO SUL,Reação tardia ou ineficiente do condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Curva,Não,3,0,1,0,1,1,1,3,"-20,856722","-40,876863",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-02-10,quinta-feira,04:00:00,ES,101,"266,3",SERRA,Condutor Dormindo,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Múltipla,Reta,Sim,2,0,1,0,1,0,1,2,"-20,190199","-40,26828891",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-02-09,quarta-feira,22:20:00,ES,101,28,CONCEICAO DA BARRA,Velocidade Incompatível,Tombamento,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Curva,Não,2,0,0,0,0,3,0,3,"-18,39179309","-39,94180625",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-02-11,sexta-feira,06:50:00,ES,101,"297,6",VIANA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,4,0,1,0,3,0,1,2,"-20,35084362","-40,41297197",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-02-13,domingo,07:10:00,ES,101,255,SERRA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Retorno Regulamentado,Sim,3,0,1,0,1,2,1,4,"-20,11487935","-40,31943619",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-02-14,segunda-feira,18:59:00,ES,262,89,DOMINGOS MARTINS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta;Declive,Não,5,0,0,3,1,1,3,3,"-20,38725617","-41,01746327",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-02-14,segunda-feira,14:15:00,ES,101,"100,2",JAGUARE,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Interseção de Vias,Sim,3,0,1,0,2,0,1,2,"-18,98011199","-39,99543202",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-02-18,sexta-feira,16:26:00,ES,101,288,CARIACICA,Manobra de mudança de faixa,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,2,0,0,1,2,2,"-20,27160351","-40,39091743",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-02-19,sábado,13:31:00,ES,262,"152,8",IBATIBA,Curva acentuada,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva;Declive,Não,1,0,1,0,0,0,1,1,"-20,21979331","-41,45006235",SPRF-ES,DEL01-ES,UOP02-DEL01-ES
2022-02-20,domingo,21:30:00,ES,101,"182,9",ARACRUZ,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Não,1,0,1,0,0,0,1,1,"-19,6386808","-40,23155029",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-02-21,segunda-feira,08:00:00,ES,101,"399,7",ITAPEMIRIM,Condutor Dormindo,Colisão lateral sentido oposto,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,1,0,0,1,0,0,2,"-20,89106645","-40,99876886",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-02-21,segunda-feira,08:35:00,ES,101,144,LINHARES,Acesso irregular,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,4,0,2,0,2,0,2,2,"-19,35188295","-40,0636685",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-02-21,segunda-feira,20:50:00,ES,101,"457,8",MIMOSO DO SUL,Conversão proibida,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Interseção de Vias,Não,2,0,1,0,0,1,1,2,"-21,20215642","-41,30074807",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-02-21,segunda-feira,23:50:00,ES,101,"406,8",ITAPEMIRIM,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Não,2,0,0,1,0,1,1,2,"-20,89278975","-41,03049296",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-02-22,terça-feira,12:10:00,ES,101,"145,3",LINHARES,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Não,3,0,1,0,2,0,1,2,"-19,36089598","-40,06464018",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-02-18,sexta-feira,13:30:00,ES,101,276,SERRA,Acumulo de água sobre o pavimento,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,"-20,20788726","-40,3133509",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-02-26,sábado,00:15:00,ES,101,159,LINHARES,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Plena Noite,Crescente,Nublado,Simples,Reta,Sim,2,0,0,0,1,3,0,4,"-19,4684012","-40,1102557",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-02-26,sábado,09:45:00,ES,101,"19,8",PEDRO CANARIO,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Fatais,Pleno dia,Crescente,Nublado,Simples,Reta,Não,3,2,0,0,1,0,0,2,"-18,31846928","-39,95435579",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-02-26,sábado,14:25:00,ES,101,"349,3",GUARAPARI,Condutor Dormindo,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,4,0,2,0,1,1,2,3,"-20,6527553","-40,64346758",SPRF-ES,DEL03-ES,UOP01-DEL03-ES
2022-02-27,domingo,15:30:00,ES,259,47,COLATINA,Avarias e/ou desgaste excessivo no pneu,Tombamento,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,2,0,0,0,1,1,0,2,"-19,52869806","-40,58823006",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-02-27,domingo,18:45:00,ES,262,36,DOMINGOS MARTINS,Transitar na contramão,Colisão frontal,Sem Vítimas,Plena Noite,Decrescente,Nublado,Múltipla,Curva,Não,3,0,0,0,1,2,0,3,"-20,3826388","-40,60330291",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-02-28,segunda-feira,09:40:00,ES,101,"82,2",SAO MATEUS,Transitar no acostamento,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,3,0,2,0,1,0,2,2,"-18,83616999","-39,91775501",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-02-28,segunda-feira,17:25:00,ES,262,16,VIANA,Ultrapassagem Indevida,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,7,0,2,0,4,1,2,3,"-20,38441093","-40,463078",SPRF-ES,DEL01-ES,UOP01-DEL01-ES
2022-03-01,terça-feira,09:10:00,ES,101,106,SOORETAMA,Ausência de reação do condutor,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Aclive;Reta,Não,6,0,1,0,4,1,1,3,"-19,02940988","-40,01887727",SPRF-ES,DEL04-ES,UOP01-DEL04-ES
2022-03-02,quarta-feira,15:31:00,ES,101,"7,3",PEDRO CANARIO,Ultrapassagem Indevida,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Declive;Curva,Não,4,0,1,0,2,1,1,3,"-18,22768508","-39,94459291",SPRF-ES,DEL04-ES,UOP02-DEL04-ES
2022-03-04,sexta-feira,10:40:00,ES,101,"266,3",SERRA,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Múltipla,Reta,Sim,1,0,1,0,0,0,1,1,"-20,19365381","-40,26879542",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2022-03-04,sexta-feira,16:30:00,ES,482,94,ALEGRE,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Aclive,Não,3,0,0,0,3,0,0,1,"-20,75934796","-41,58429897",SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2022-03-05,sábado,05:30:00,ES,101,"260,2",SERRA,Manobra de mudança de faixa,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Dupla,Curva,Sim,2,0,0,1,1,0,1,2,"-20,14616415","-40,28836206",SPRF-ES,DEL02-ES,UOP01-DEL02-ES
